Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
397000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
398000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
417000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
418000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
419000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
597000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
597000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
617000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
618000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
620000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
798000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
799000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
817000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
818000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
818000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
997000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
998000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
17000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
18000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
20000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
138000,0000044D,false,Rx,0,8,4D,04,00,00,00,00,00,00,
197000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
199000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
217000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
217000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
219000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
397000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
397000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
417000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
418000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
418000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
597000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
599000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
617000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
617000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
619000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
797000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
799000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
817000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
818000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
819000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
996000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
997000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
17000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
17000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
19000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
139000,0000044D,false,Rx,0,8,4D,04,00,00,00,00,00,00,
196000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
198000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
216000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
218000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
219000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
396000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
399000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
418000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
419000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
420000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
598000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
599000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
617000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
618000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
618000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
797000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
798000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
817000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
818000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
820000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
997000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
997000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
17000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
17000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
19000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
138000,0000044D,false,Rx,0,8,4D,04,00,00,00,00,00,00,
197000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
199000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
217000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
217000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
219000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
397000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
398000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
417000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
418000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
419000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
597000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
598000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
617000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
618000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
619000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
797000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
799000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
817000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
818000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
819000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
997000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
998000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
17000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
18000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
19000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
138000,0000044D,false,Rx,0,8,4D,04,00,00,00,00,00,00,
197000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
198000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
217000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
218000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
219000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
397000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
398000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
417000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
418000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
420000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
597000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
598000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
617000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
618000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
619000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
797000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
799000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
817000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
818000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
820000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
997000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
998000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
17000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
18000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
19000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
139000,0000044D,false,Rx,0,8,4D,04,00,00,00,00,00,00,
197000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
198000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
217000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
218000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
220000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
397000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
398000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
417000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
418000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
419000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
597000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
598000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
617000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
618000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
619000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
797000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
798000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
816000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
817000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
819000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
997000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
998000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
16000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
18000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
20000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
139000,0000044D,false,Rx,0,8,4D,04,00,00,00,00,00,00,
197000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
198000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
217000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
218000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
219000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
397000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
398000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
417000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
418000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
419000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
597000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
598000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
617000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
618000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
620000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
